 ,April 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,,,1,2,3,4
WG,,,,AS,CJ     JP,JB     CJ,JB     CJ
ALT,,,,CJ,CJ,LW,LW
,,,,,,,
Out,,,,,,,
,,,,,,,
,5 ,6 ,7 ,8 ,9 ,10 ,11 
WG,JB     CJ,OK,JP,LW,JP,OK,OK
ALT,LW,LN,GY,NF,GY,LN,LN
,Easter ,,,,,,
Out,,,,,,,
,,,,,,,
,12 ,13 ,14 ,15 ,16 ,17 ,18 
WG,OK,LW,JP,LW   JP WILL COVER @ 4AM,JP     JB,JP,JP
ALT,LN,GY,LN,NF,GY,NF,NF
,,,,,,,
Out,,,,,,,
,,,,,,,
,19 ,20 ,21 ,22 ,23 ,24 ,25 
WG,JP,AS,LW,JP,CJ,AS,AS
ALT,NF,GY,LN,NF,LN,GY,GY
,,,,,,,
Out,,,,,,,
,,,,,,,
,26 ,27 ,28 ,29 ,30 ,,
WG,AS,JP,LW,JP,OK,,
ALT,GY,NF,GY,NF,LN,,
,,,,,,,
Out,,,,,,,
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
,2/18 changes made to call schedule per JB request after speaking to CJ for coverage,,,,,,
,2/26 LW has an early flight on 4/16 so JP will cover calls beginning at 4am,,,,,,
