 ,August 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,,,,,,1
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,2 ,3 ,4 ,5 ,6 ,7 ,8 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,9 ,10 ,11 ,12 ,13 ,14 ,15 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,16 ,17 ,18 ,19 ,20 ,21 ,22 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,23 ,24 ,25 ,26 ,27 ,28 ,29 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,30 ,31 ,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
