	March 2026						
							
	SUNDAY	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY	SATURDAY
	1	2	3	4	5	6	7
WG	JP	AS	OK	AS	JP	OK	OK
ALT	LN	GY	NF	LN	NF	GY	GY
							
Out	NF OUT						
							
	8 	9 	10 	11 	12 	13 	14 
WG	OK	JP	LW	OK	LW	JP	JP
ALT	GY	LN	NF	GY	LN	NF	NF
							
Out						LW OUT	LW OUT
							
	15 	16 	17 	18 	19 	20 	21 
WG	JP	LW	JP	LW	JP	JB	JB
ALT	NF	GY	NF        LN	GY	LN       NF	LW	LW
							
Out	LW OUT					GY, NF OUT	GY, NF OUT
							
	22 	23 	24 	25 	26 	27 	28 
WG	JB	LW	OK	AS	JP	AS	AS
ALT	LW	LN	GY	LNNF	GY	LN	LN
							
Out	GY, NF OUT						
							
	29 	30 	31 				
WG	AS	LW	JP				
ALT	LN	CJGY	NF				
							
Out							
							
WG							
ALT							
							
Out							
							
							
	NOTES						
	1/30/20226 3/25 & 3/26 swapped for GY & NF per NF 						
