 ,November 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,1,2,3,4,5,6,7
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,8 ,9 ,10 ,11 ,12 ,13 ,14 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,15 ,16 ,17 ,18 ,19 ,20 ,21 
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,22 ,23 ,24 ,25 ,26 ,27 ,28 
WG,,,,,,,
ALT,,,,,GY,GY,GY
,,,,,,,
Out,,,,,,,
,29 ,30 ,,,,,
WG,,,,,,,
ALT,GY,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
