✅Approved,Doctor Requests,,✅Approved,PA Requests
JAN WG,,,,
✅,LW Jan 16-19,,✅,CN 01/08
✅,JB 1/1-1/11,,,BF 1/16
✅,JB 1/30-2/1,,,
✅,OK no call 1/24,,,
,JB off 1/21,,,"AD 1/19, 1/21"
,CJ 1/23 and 1/26,,,BF 1/26 dr. appt 8am in by 9am
,,,,CN 1/27 out by 12:30pm
,,,,
JAN ALT,,,,
✅,GY Jan 16-19,,,
✅,LN Jan 8,,,
✅,LN 23-26,,,
,,4/26,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
FEB WG,,,,
,JB 2/5-15,,✅,BF 2/26-2/27 & 3/2-3/6
,LW 2/13-15,,,
,"OK 2/20-22, no call 19",,,AD 2/9-2/12
,JB 2/26-3/8,,,SR 2/18 out in am 
,JP 2/6-8 weekend no call,,,2/25 BF appt 3pm
,AS 2/18-2/20,,,2/27 Ad appt 10am
,,,,Ks appt 830 2/26
,,,,
,,,,
,,,,
FEB ALT,,,,
✅,GY Feb 13-16,,,
✅,NF 2/28-3/1,,,
,LW 2/13-15 CANCELLED PER LW./ma,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
MAR WG,,,,
✅,AS 3/6 - 3/21,,✅,AD 3/18-3/20
✅,CJ 3/16-22,,✅,CN 3/11-3/13
✅,OK  3/14-22. No call 3/13,,✅,BF 3/16
✅,JB 2/26-3/8,,,3/4 KS appt 4pm
,CJ 3/4 afternoon and 3/5 all day,,,
,CJ 3/9 all day,,,
,"JB 3/31 Can work until 11AM, Block PM ONLY!)",,,
,,,,
,,,,
,,,,
MAR ALT,,,,
✅,LW 3/13-15,,,
✅,GY 27-29,,,
✅,NF 2/28-3/1,,,
✅,"NF 3/20-3/22 (keep clinic, no call request, in town).",,,
✅,GY 30-31 off,,,
,,,,
,,,,
,,,,
,,,,
,,,,
APR WG,,,,
✅,CJ 4/26-30,,✅,SR 4/9-4/10
✅,JB 4/18-420,,✅,KS 4/13-4/23
✅,LW off 4/16-19,,✅,BF 4/29
✅,CJ 4/11-12,,✅,AD 4/24 appt 10:30am
✅,LW 4/24 conference ,,✅,AD 4/13 doc appt 2:30pm
✅,JB 4/1-4/5 (added 3/19/26),,✅,AD 4/6 doc appt 3pm
,,,,KS4/2 doc appt 4pm
,,,,
,,,,
,,,,
APR ALT,,,,
✅,"LN 4/2, 4/16-20 off",,,
✅,NF 4/3-4/5 ,,,
✅,LW off 4/16-19,,,
✅,"GY 1-3 off, 4-5",,,
✅,LW 4/24 conference ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 MAY WG,,,,
✅,AS 5/29 - 6/6,,✅,AD 5/26-5/29
,AS 5/2 no call,,✅,SR 5/4-5/5
,"JP, LW 5/2 no call",,,
✅,CJ 5/1-3,,,
✅,LW no call 5/20. off 5/21-24,,,
,CJ no weekday calls,,,
✅,JB 5/5,,,
,,,,
,,,,
MAY ALT,,,,
✅,NF 5/22-5/31 vacation request ,,,
✅,GY 5/22-24,,,
✅,"JP, NF, LW no call 5/2",,,
,LW no call 5/20. off 5/21-24,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
JUNE WG,,,,
✅,CJ 6/13-30. RTW7/1,,,AD 6/1-6/5
,JB 6/26-7/5,,,SR 6/1-6/5
,LW 6/7 no call,,,CN 6/25-7/3
,"CJ 6/11 afternoon, and all day 6/12",,,
,CJ no weekday calls,,,
,,,,
,,,,
,,,,
,,,,
,,,,
JUNE ALT,,,,
✅,NF 6/25-6/28 request off/out of town,,,
✅,LW 6/7 no call,,,
,"GY no call 12-14, 19-21",,,
,LN off 6/17-19,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
JULY WG,,,,
,JB 6/26-7/5,,,SR 7/3
,AS 7/15 - 7/20,,,KS 7/27-7/31
,CJ no weekday calls,,,BF 7/9 & 7/10
,,,,BF 7/27-31
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
JULY ALT,,,,
,GY 7/24-7/26,,,
,NF 7/23 @3 pm - 7/26 out of town,,,
,LN off 7/3,,,
,"LN no call 7/28, off 29-30",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
AUG WG,,,,
,Ok no call 8/04,,,SR 8/20-8/21
,JB 8/1-8/9,,,"SR 8/27-8/28, 8/31"
,LW 8/5-14 (🦒🐘🦁🇰🇪),,,
,AS 8/3 - 8/7,,,
,CJ 8/5 afternoon and 8/6,,,
,CJ no weekday calls,,,
,CJ 8/17 afternoon and 8/18 all day,,,
,,,,
,,,,
,,,,
AUG ALT,,,,
,LW 8/5-14 (🦒🐘🦁🇰🇪),,,
,LW 8/28-30 (tentative),,,
,GY 8/20-24,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
SEP WG,,,,
✅,CJ 9/15-30,,,
,OK no call 9/06,,,
,JB 9/18-27,,,
,CJ no weekday calls,,,
,JB 9/10-13,,,
,LW 9/26-29 (pending ACS acceptance),,,
,,,,
,,,,
,,,,
SEP ALT,,,,
,NF 9/24-9/28 out of town,,,
,LW 9/26-29 (pending ACS acceptance),,,AD 9/8-9/11
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
OCT WG,,,,
✅,CJ 10/7-19,,,SR 10/22&10/23
,OK no call 10/30-11/01,,,
,JB 10/29-11/2,,,
,CJ no weekday calls,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
OCT ALT,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
NOV WG,,,,
,OK no call 11/08,,,KS 11/27-11/30
,JB No call 11/10,,,
,CJ no weekday calls,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
NOV ALT,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
DEC WG,,,,
✅,CJ 12/1-6,,,
,CJ no weekday calls,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
DEC ALT,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2027 WG,,,,
,CJ no weekday calls,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2027 ALT,,,,
