 ,February 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,1,2,3,4,5,6,7
WG,JP,LW,OK,JP,AS,OK,OK
ALT,GY,LN,NF,GY,LN,LW,LW
,,,,,,,
Out,,,,,,,
,,,,,,,
,8 ,9 ,10 ,11 ,12 ,13 ,14 
WG,OK,LW,AS,JP,LW, CJ     AS,AS
ALT,LW,GY,NF,LN,GY,NF,NF
,,,,,,,
Out,,,,,,"GY, LW OUT","GY, LW OUT"
,,,,,,,
,15 ,16 ,17 ,18 ,19 ,20 ,21 
WG,CJ      AS,JP,            OK         AS,AS             OK,JP,                            JB        CJ ,JB      CJ 
ALT,NF,NFLN,GY,NF,LN,GY,GY
,,,,,,,
Out,"GY, LW OUT",,,,,,
,,,,,,,
,22 ,23 ,24 ,25 ,26 ,27 ,28 
WG,JB     CJ,JP,LW,OK,LW,JP,JP
ALT,GY,NF,LN,NF,GY,LN,LN
,,,,,,,
Out,,,,,,NF OUT,NF OUT
,,,,,,,
WG,JP,,,,,,
ALT,LN,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
