Holiday Coverage Schedule,,,,,,
,,,,,,
Majors,2026,WG,ALT,,2025 Doc WG,2025 Doc ALT
,Memorial Day,AS,LN,,OK,
,Fourth of July,OK,LW,,AS,GY
,Labor Day,JB,NF,,JB,LN
,Thanksgiving,JP,GY,,LW,NF
,,,,,,
Christmas Week,,,,,,
,,,,,,
,Christmas Eve,,,,JB,NF
,Christmas Day,,,,JP,LN
New Year's Week,,,,,,
,,,,,,
,New Year's Eve,,,,OK,GY
,New Year's Day,,,,AS,LW
,,,,,,
Minors,2026,WG,ALT,,2025 Doc WG,2025 Doc ALT
Feb 14,Valentine's Day,AS,NF,FUTURE PRES DAY WKEND,LW,XX
April 3-5,Easter Weekend,JB,LW,,AS,XX
May 10,Mother's Day,JP,GY,,OK,AS
June 21,Father's Day,OK,LN,,JB,GY
