 ,January 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,,,,1,2,3
WG,,,,,AS,OK,OK
ALT,,,,,LW,LN,LN
,,,,,,,
Out,,,,,JB OUT,JB OUT,JB OUT
,,,,,,,
,4 ,5 ,6 ,7 ,8 ,9 ,10 
WG,OK,AS,JP,LW,AS,JP,JP
ALT,LN,NF,LN,NF,LN         NF,LW,LW
,,,,,,,
Out,JB OUT,JB OUT,JB OUT,JB OUT,JB OUT,JB OUT,JB OUT
,,,,,,,
,11 ,12 ,13 ,14 ,15 ,16 ,17 
WG,JP,OK,JP,LW,JP,JB,JB
ALT,LW,NF,LN,GY,NF,LN         NF,LN            NF 
,,,,,,,
Out,JB OUT,,,,,LW OUT,LW OUT
,,,,,,,
,18 ,19 ,20 ,21 ,22 ,23 ,24 
WG,JB,OK,JP,LW,JB,AS,AS
ALT,LN           NF ,NF           LN,GY,LN,GY,NF              LN,NF             LN
,,,,,,,
Out,LW OUT,LW OUT,,JB OUT,,,
,,,,,,,
,25 ,26 ,27 ,28 ,29 ,30 ,31 
WG,AS,LW,JP,OK,LW,JP,JP
ALT,NF          LN,LN,GY,NF,LN,GY,GY
,,,,,,,
Out,,,,,,JB OUT ,JB OUT 
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
,"1/5/26 LN Call Swap as follows LN to NF Jan 8, 16-18 & NF to LN Jan 19, 23-25 ***Ans Service & AH ALT received notification",,,,,,
