 ,June 2026,,,,,,
,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,1,2,3,4,5,6
WG,,CJ,JP,LW,OK,JP,JP
ALT,,GY,LN,GY,LN,NF,NF
,,,,,,,
Out,,,,,,,
,,,,,,,
,7 ,8 ,9 ,10 ,11 ,12 ,13 
WG,JP,LW,AS,OK,JP,JB,JB
ALT,NF,GY,LN,NF,GY,LW,LW
,,,,,,,
Out,,,,,,,
,,,,,,,
,14 ,15 ,16 ,17 ,18 ,19 ,20 
WG,JB,JP,LW,JP,AS,OK,OK
ALT,LW,NF,LN,GY,NF,LN,LN
,,,,,,,
Out,,,,,,,
,,,,,,,
,21 ,22 ,23 ,24 ,25 ,26 ,27 
WG,OK,JP,LW,JP,LW,AS,AS
ALT,LN,NF,GY,NF,LN,GY,GY
,,,,,,,
Out,,,,,,,
,,,,,,,
,28 ,29 ,30 ,,,,
WG,AS,JP,LW,,,,
ALT,GY,NF,LN,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
WG,,,,,,,
ALT,,,,,,,
,,,,,,,
Out,,,,,,,
,,,,,,,
,,,,,,,
,NOTES,,,,,,
